City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,santa cruz,-17.8,-63.1667,302.85,54,75,2.06,BO,1670200479
85,nago,26.5881,127.9761,296.62,79,28,0.62,JP,1670200479
86,salalah,17.0151,54.0924,297.2,73,40,1.54,OM,1670200480
87,rock sound,24.9,-76.2,297.42,63,6,7.51,BS,1670200481
88,porto santo,33.072,-16.3415,290.36,77,40,6.69,PT,1670200482
89,dikson,73.5069,80.5464,271.45,86,100,9.11,RU,1670200390
90,si racha,13.1737,100.9311,300.01,79,100,5.33,TH,1670200483
91,calama,-22.4667,-68.9333,290.42,15,0,10.8,CL,1670200271
92,camacha,33.0833,-16.3333,288.83,77,40,6.69,PT,1670200484
93,birao,10.2849,22.7882,295.89,27,21,3.72,CF,1670200484
94,nabire,-3.3667,135.4833,303.18,62,80,1.33,ID,1670200485
95,geraldton,-28.7667,114.6,295.38,60,0,5.14,AU,1670200485
96,rio grande,-32.035,-52.0986,296.21,91,0,4.41,BR,1670200486
97,lakhimpur,27.95,80.7667,287.01,56,0,1.38,IN,1670200487
98,cedral,23.8,-100.7333,290.6,54,0,4.15,MX,1670200487
99,oranjemund,-28.55,16.4333,288.49,86,48,3.57,NA,1670200488
100,namatanai,-3.6667,152.4333,301.23,75,98,2.96,PG,1670200489
101,talnakh,69.4865,88.3972,267.71,96,100,2.69,RU,1670200396
102,narsaq,60.9167,-46.05,263.27,60,100,3.86,GL,1670200489
103,hambantota,6.1241,81.1185,296.34,100,40,1.03,LK,1670200490
104,yellowknife,62.456,-114.3525,252.44,65,75,3.6,CA,1670200490
105,evensk,61.95,159.2333,259.58,82,100,6.17,RU,1670200491
106,saskylakh,71.9167,114.0833,249.86,96,100,6.89,RU,1670200491
107,ryotsu,38.0833,138.4333,277.97,88,100,5.32,JP,1670200492
108,nurota,40.5614,65.6886,267.15,56,100,2.55,UZ,1670200492
109,tommot,58.9564,126.2925,259.36,90,100,7.2,RU,1670200493
110,bambous virieux,-20.3428,57.7575,297.71,78,20,3.09,MU,1670200493
111,tongliao,43.6125,122.2653,261.86,46,0,4.59,CN,1670200494
112,korocha,50.8107,37.1953,261.55,60,14,4.71,RU,1670200495
113,srednekolymsk,67.45,153.6833,229.24,100,61,1.35,RU,1670200495
114,bluff,-46.6,168.3333,283.6,67,100,1.4,NZ,1670200496
115,chokurdakh,70.6333,147.9167,233.28,100,93,1.86,RU,1670200497
116,acarau,-2.8856,-40.12,299.53,76,62,8.38,BR,1670200498
117,swan hill,-35.3378,143.5544,294.76,45,100,6.47,AU,1670200198
118,aripuana,-9.1667,-60.6333,295.77,94,90,0.31,BR,1670200499
119,chapais,49.7834,-74.8492,263.03,94,100,3.51,CA,1670200366
120,maple creek,49.9168,-109.4848,267.38,73,28,2.06,CA,1670200241
121,san cristobal,7.7669,-72.225,294.25,98,100,1.65,VE,1670200500
122,hithadhoo,-0.6,73.0833,300.78,75,100,4.18,MV,1670200501
123,antalaha,-14.9003,50.2788,296.69,82,99,2.38,MG,1670200502
124,te anau,-45.4167,167.7167,291.07,50,98,3.54,NZ,1670200503
125,maibong,25.3,93.1667,288.1,83,5,0.42,IN,1670200504
126,cayenne,4.9333,-52.3333,297.17,100,0,0.51,GF,1670200504
127,agadez,19.75,10.25,293.93,21,5,2.13,NE,1670200505
128,tasiilaq,65.6145,-37.6368,271.24,65,87,1.47,GL,1670200505
129,shache,38.4167,77.2406,267.2,35,99,0.66,CN,1670200366
130,arraial do cabo,-22.9661,-42.0278,295.94,89,100,12.85,BR,1670200506
131,cockburn town,21.4612,-71.1419,297.13,60,75,3.6,TC,1670200507
132,pacifica,37.6138,-122.4869,288.18,79,40,4.63,US,1670200235
133,georgetown,5.4112,100.3354,300.5,90,20,1.03,MY,1670200241
134,aykhal,66.0,111.5,247.79,97,100,9.32,RU,1670200508
135,vila velha,-20.3297,-40.2925,295.34,96,40,1.54,BR,1670200509
136,marzuq,14.4,46.4667,287.19,41,27,0.84,YE,1670200509
137,dossor,47.5272,52.9811,264.96,48,13,3.45,KZ,1670200510
138,santiago de cao,-7.9589,-79.2392,292.22,82,5,4.12,PE,1670200511
139,petropavlovsk-kamchatskiy,53.0452,158.6483,257.48,61,0,2.0,RU,1670200346
140,leningradskiy,69.3833,178.4167,262.54,95,100,6.31,RU,1670200511
141,hamilton,39.1834,-84.5333,275.22,56,0,0.0,US,1670200230
142,nelson bay,-32.7167,152.15,301.53,59,1,4.47,AU,1670200247
143,hilo,19.7297,-155.09,300.0,70,75,1.54,US,1670200513
144,faya,18.3851,42.4509,284.44,82,0,1.54,SA,1670200513
145,inirida,3.8653,-67.9239,296.5,93,100,0.18,CO,1670200514
146,boyolangu,-8.1181,111.8935,300.77,76,99,1.01,ID,1670200514
147,marsh harbour,26.5412,-77.0636,296.34,63,7,5.53,BS,1670200515
148,baracoa,20.3467,-74.4958,298.02,63,58,6.81,CU,1670200516
149,norman wells,65.282,-126.8329,243.17,76,20,1.54,CA,1670200516
150,mount isa,-20.7333,139.5,307.02,20,0,3.6,AU,1670200517
151,ulaangom,49.9811,92.0667,247.56,96,100,0.65,MN,1670200517
152,tiarei,-17.5333,-149.3333,303.16,79,44,6.28,PF,1670200518
153,puerto ayora,-0.7393,-90.3518,294.57,89,60,1.79,EC,1670200519
154,ostrovnoy,68.0531,39.5131,268.22,89,100,7.01,RU,1670200519
155,boende,-0.2167,20.8667,294.38,98,99,1.3,CD,1670200520
156,ocampo,21.65,-101.5,286.1,53,0,3.82,MX,1670200521
157,kota bahru,6.1333,102.2386,300.39,100,40,0.0,MY,1670200521
158,grindavik,63.8424,-22.4338,277.41,93,100,3.09,IS,1670200522
159,banda aceh,5.5577,95.3222,299.47,78,100,4.47,ID,1670200522
160,mahabang parang,13.9833,121.0833,300.35,73,100,2.87,PH,1670200523
161,zeerust,-25.5369,26.0751,295.48,54,22,4.2,ZA,1670200524
162,portland,45.5234,-122.6762,275.61,92,100,3.6,US,1670200350
163,arawa,-6.2132,155.5367,302.32,73,97,1.76,PG,1670200525
164,mar del plata,-38.0023,-57.5575,292.16,86,0,3.6,AR,1670200525
165,wanaka,-44.7,169.15,293.77,45,98,4.02,NZ,1670200526
166,hovd,48.0056,91.6419,255.91,81,100,1.09,MN,1670200526
167,tawau,4.2498,117.8871,298.22,94,100,0.45,MY,1670200527
168,tezu,27.9167,96.1667,289.41,35,0,2.02,IN,1670200528
169,alofi,-19.0595,-169.9187,302.09,74,86,3.09,NU,1670200528
170,smoky lake,54.1169,-112.4686,266.47,57,88,6.69,CA,1670200529
171,kununurra,-15.7667,128.7333,305.14,62,9,1.03,AU,1670200529
172,sibiti,-3.6819,13.3499,293.67,94,100,0.41,CG,1670200530
173,naze,28.3667,129.4833,291.66,88,95,7.07,JP,1670200530
